"","FIPS","GISJOIN2","OUT10","REP10","Pop10","Wage2010","Wage2011","Wage2012","Wage2013","Wage2014","Wage2015","CBSA10","CBSAName","PEA10","BEA2004","TPMetro","TPMicro","TPcombined"
"10001",10001,"G1000010",91,430,162310,36771,37177,38572,38575,39979,41104,20100,"Dover, DE",6,49,287,NA,287
"10003",10003,"G1000030",92,431,538479,55026,57344,58730,58939,60042,60564,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,127,2260,NA,2260
"10005",10005,"G1000050",91,430,197145,33911,33994,34490,35217,36322,37679,41540,"Salisbury, MD-DE",147,49,NA,289,289
"1001",1001,"G0100010",1,560,54571,31748,32404,33690,33976,34232,35148,33860,"Montgomery, AL",164,114,51,NA,51
"1003",1003,"G0100030",2,561,182265,31189,31341,31882,32514,33126,33883,19300,"Daphne-Fairhope-Foley, AL",84,112,NA,2,2
"1005",1005,"G0100050",3,562,27457,30272,31361,32178,32882,34007,35053,NA,NA,170,48,NA,3,3
"1007",1007,"G0100070",4,563,22915,33123,33695,34713,35986,37306,37715,13820,"Birmingham-Hoover, AL",344,19,37,NA,37
"1009",1009,"G0100090",4,563,57322,29167,29724,30365,30957,32812,33240,13820,"Birmingham-Hoover, AL",258,19,37,NA,37
"1011",1011,"G0100110",1,560,10914,29512,30457,31453,31654,32450,32801,NA,NA,300,114,NA,NA,NA
"1013",1013,"G0100130",1,560,20947,28961,29552,30557,31289,31689,32677,NA,NA,300,114,NA,NA,NA
"1015",1015,"G0100150",5,564,118572,37191,37462,37174,36360,37029,36795,11500,"Anniston-Oxford-Jacksonville, AL",40,19,8,NA,8
"1017",1017,"G0100170",6,565,34215,30681,31039,31712,32334,33204,34684,46740,"Valley, AL",165,11,NA,9,9
"1019",1019,"G0100190",7,566,25989,29807,29775,29892,30955,32025,33045,NA,NA,165,11,NA,NA,NA
"1021",1021,"G0100210",4,563,43643,30017,30977,30917,31929,33071,34359,13820,"Birmingham-Hoover, AL",344,19,37,NA,37
"1023",1023,"G0100230",8,567,13859,44581,44921,46003,46856,47614,47226,NA,NA,377,80,NA,NA,NA
"1025",1025,"G0100250",8,567,25833,34197,34546,35553,36983,38102,37858,NA,NA,84,112,NA,NA,NA
"1027",1027,"G0100270",5,564,13932,28836,28735,29415,30362,30519,31895,NA,NA,246,19,NA,NA,NA
"1029",1029,"G0100290",5,564,14972,34430,34697,34926,37086,39744,43050,NA,NA,165,11,417,NA,417
"1031",1031,"G0100310",9,568,49948,29310,30031,30665,31096,31898,32616,21460,"Enterprise, AL",170,48,NA,23,23
"1033",1033,"G0100330",10,569,54428,38757,39728,39918,39690,41164,41809,22520,"Florence-Muscle Shoals, AL",55,76,39,NA,39
"1035",1035,"G0100350",11,570,13228,31312,31653,31954,32250,33461,33649,NA,NA,84,112,NA,NA,NA
"1037",1037,"G0100370",5,564,11539,33057,33316,32943,34481,35419,35715,45180,"Talladega-Sylacauga, AL",246,114,NA,62,62
"1039",1039,"G0100390",1,560,37765,31633,31798,32409,32779,33188,33360,NA,NA,170,48,NA,NA,NA
"1041",1041,"G0100410",1,560,13906,31453,31014,32379,33472,34542,35364,NA,NA,300,114,NA,NA,NA
"1043",1043,"G0100430",12,571,80406,32961,33336,34064,34919,35955,36652,18980,"Cullman, AL",258,19,NA,22,22
"1045",1045,"G0100450",9,568,50251,46972,48082,49145,49619,49966,50804,37120,"Ozark, AL",170,48,NA,23,23
"1047",1047,"G0100470",8,567,43820,32448,32782,33685,34026,34737,35234,42820,"Selma, AL",300,114,NA,24,24
"1049",1049,"G0100490",7,566,71109,31446,30846,31869,31754,33132,34059,NA,NA,55,76,NA,25,25
"1051",1051,"G0100510",1,560,79303,31000,31928,32846,33146,32899,33464,33860,"Montgomery, AL",164,114,51,NA,51
"1053",1053,"G0100530",11,570,38319,33823,34190,34897,35767,36574,37676,NA,NA,84,112,NA,NA,NA
"1055",1055,"G0100550",7,566,104430,33218,33441,33588,33681,34267,35215,23460,"Gadsden, AL",55,76,28,NA,28
"1057",1057,"G0100570",12,571,17241,28039,28284,29258,30129,31787,32147,NA,NA,258,19,NA,NA,NA
"1059",1059,"G0100590",10,569,31704,30222,30427,31342,31398,32565,33459,NA,NA,55,76,NA,NA,NA
"1061",1061,"G0100610",9,568,26790,28000,28379,28867,29179,29812,31058,20020,"Dothan, AL",170,48,35,NA,35
"1063",1063,"G0100630",13,567,9045,32453,33423,33559,30554,29889,31864,NA,NA,377,19,63,NA,63
"1065",1065,"G0100650",13,567,15760,30746,31104,31298,33628,33870,34245,46220,"Tuscaloosa, AL",344,19,63,NA,63
"1067",1067,"G0100670",9,568,17302,33394,34425,35200,36059,36609,37932,20020,"Dothan, AL",170,48,35,NA,35
