fips,year,pop_county
01001,1990,34353
01001,1991,35010
01001,1992,35985
01001,1993,36953
01001,1994,38186
01001,1995,39112
01001,1996,40207
01001,1997,41238
01001,1998,42106
01001,1999,42963
01001,2000,44021
01001,2001,44889
01001,2002,45909
01001,2003,46800
01001,2004,48366
01001,2005,49676
01001,2006,51328
01001,2007,52405
01001,2008,53277
01001,2009,54135
01001,2010,54754
01001,2011,55208
01001,2012,54936
01001,2013,54713
01001,2014,54876
01001,2015,54838
01001,2016,55242
01001,2017,55443
01001,2018,55601
01003,1990,98955
01003,1991,102420
01003,1992,106595
01003,1993,111416
01003,1994,116565
01003,1995,120896
01003,1996,125412
01003,1997,130164
01003,1998,134444
01003,1999,137555
01003,2000,141342
01003,2001,144875
01003,2002,147957
01003,2003,151509
01003,2004,156266
01003,2005,162183
01003,2006,168121
01003,2007,172404
01003,2008,175827
01003,2009,179406
01003,2010,183111
01003,2011,186540
01003,2012,190143
01003,2013,194886
01003,2014,199189
01003,2015,202995
01003,2016,207712
01003,2017,212619
01003,2018,218022
01005,1990,25505
01005,1991,26506
01005,1992,26941
01005,1993,27371
01005,1994,27751
01005,1995,27854
01005,1996,28298
01005,1997,28415
01005,1998,28841
01005,1999,28866
01005,2000,29015
01005,2001,28863
01005,2002,28653
01005,2003,28594
01005,2004,28287
01005,2005,28027
01005,2006,27861
01005,2007,27757
01005,2008,27808
01005,2009,27657
01005,2010,27330
01005,2011,27350
01005,2012,27174
01005,2013,26944
01005,2014,26758
01005,2015,26294
01005,2016,25819
01005,2017,25158
01005,2018,24881
01007,1990,16697
01007,1991,17071
01007,1992,17403
01007,1993,17757
01007,1994,18053
01007,1995,18507
01007,1996,18885
01007,1997,19388
01007,1998,19851
01007,1999,20560
01007,2000,19913
01007,2001,21028
01007,2002,21199
01007,2003,21399
01007,2004,21721
01007,2005,22042
01007,2006,22099
01007,2007,22438
01007,2008,22705
01007,2009,22941
01007,2010,22872
01007,2011,22747
01007,2012,22664
01007,2013,22516
01007,2014,22541
01007,2015,22562
01007,2016,22576
01007,2017,22555
01007,2018,22400
01009,1990,39473
01009,1991,40190
01009,1992,40822
01009,1993,41866
01009,1994,42520
01009,1995,44060
01009,1996,45344
01009,1997,47055
01009,1998,48824
01009,1999,50237
01009,2000,51107
01009,2001,51845
01009,2002,52551
01009,2003,53457
01009,2004,54124
01009,2005,54624
01009,2006,55485
01009,2007,56240
01009,2008,57055
01009,2009,57341
01009,2010,57373
01009,2011,57554
01009,2012,57570
01009,2013,57611
01009,2014,57521
01009,2015,57522
01009,2016,57517
01009,2017,57827
01009,2018,57840
01011,1990,11032
01011,1991,11188
01011,1992,11125
01011,1993,11219
01011,1994,11370
01011,1995,11431
01011,1996,11574
01011,1997,11624
01011,1998,11655
01011,1999,11755
01011,2000,11581
01011,2001,11358
01011,2002,11256
01011,2003,11316
01011,2004,11056
01011,2005,11011
01011,2006,10776
01011,2007,11011
01011,2008,10953
01011,2009,10987
01011,2010,10878
01011,2011,10677
01011,2012,10607
01011,2013,10551
01011,2014,10665
01011,2015,10400
01011,2016,10381
01011,2017,10176
01011,2018,10138
01013,1990,21886
01013,1991,21755
01013,1992,21794
01013,1993,21813
01013,1994,21851
01013,1995,21824
01013,1996,21863
01013,1997,21840
01013,1998,21718
01013,1999,21605
01013,2000,21325
01013,2001,21139
01013,2002,20803
01013,2003,20833
01013,2004,20870
01013,2005,20830
01013,2006,20815
01013,2007,20894
01013,2008,20949
01013,2009,20867
01013,2010,20942
01013,2011,20878
01013,2012,20687
01013,2013,20374
01013,2014,20343
01013,2015,20176
01013,2016,20029
01013,2017,19898
01013,2018,19680
01015,1990,116118
01015,1991,115247
01015,1992,115804
01015,1993,116324
01015,1994,116161
01015,1995,116790
01015,1996,116684
01015,1997,117254
01015,1998,117179
01015,1999,114910
01015,2000,111081
01015,2001,111266
01015,2002,111625
01015,2003,112705
01015,2004,113462
01015,2005,114477
01015,2006,115388
01015,2007,116211
01015,2008,117274
01015,2009,118363
01015,2010,118477
01015,2011,117797
01015,2012,117257
01015,2013,116541
01015,2014,115995
01015,2015,115536
01015,2016,115018
01015,2017,114664
01015,2018,114277
01017,1990,36884
01017,1991,36913
01017,1992,37045
01017,1993,37026
01017,1994,37066
01017,1995,37179
01017,1996,36907
01017,1997,36698
01017,1998,36808
01017,1999,36527
01017,2000,36571
01017,2001,36274
01017,2002,35965
01017,2003,35680
01017,2004,35463
01017,2005,35279
01017,2006,34945
01017,2007,34847
01017,2008,34563
01017,2009,34384
01017,2010,34122
01017,2011,34030
01017,2012,34104
01017,2013,34143
01017,2014,33980
01017,2015,34007
01017,2016,33771
01017,2017,33758
01017,2018,33615
01019,1990,19643
01019,1991,19876
01019,1992,20181
01019,1993,20712
01019,1994,21214
01019,1995,21871
01019,1996,22387
01019,1997,22911
01019,1998,23351
01019,1999,23605
01019,2000,24006
01019,2001,24182
01019,2002,24403
01019,2003,24591
01019,2004,24887
01019,2005,25031
01019,2006,25466
01019,2007,25553
01019,2008,25636
01019,2009,25854
01019,2010,25974
01019,2011,25994
01019,2012,25963
01019,2013,26025
01019,2014,25902
01019,2015,25739
01019,2016,25776
01019,2017,25815
01019,2018,26032
01021,1990,32550
01021,1991,33200
01021,1992,33503
01021,1993,34072
01021,1994,34739
01021,1995,35537
01021,1996,36467
01021,1997,37302
01021,1998,38069
01021,1999,38862
01021,2000,39897
01021,2001,40197
01021,2002,40683
01021,2003,41079
01021,2004,41534
01021,2005,41946
01021,2006,42318
01021,2007,42881
01021,2008,43239
01021,2009,43484
01021,2010,43653
01021,2011,43687
01021,2012,43582
01021,2013,43634
01021,2014,43769
01021,2015,43717
01021,2016,43896
01021,2017,44117
01021,2018,44153
01023,1990,15994
01023,1991,16044
01023,1992,16206
01023,1993,16228
01023,1994,16215
01023,1995,16195
01023,1996,16232
01023,1997,16162
01023,1998,16151
01023,1999,15931
01023,2000,15875
01023,2001,15677
01023,2002,15367
01023,2003,15199
01023,2004,14930
01023,2005,14545
01023,2006,14431
01023,2007,14216
01023,2008,14114
01023,2009,13976
01023,2010,13849
01023,2011,13607
01023,2012,13561
01023,2013,13396
01023,2014,13317
01023,2015,13233
01023,2016,13049
01023,2017,12935
01023,2018,12841
01025,1990,27289
01025,1991,27391
01025,1992,27522
01025,1993,27532
01025,1994,27646
01025,1995,27455
01025,1996,27503
01025,1997,27934
01025,1998,27756
01025,1999,27919
01025,2000,27819
01025,2001,27624
01025,2002,27267
01025,2003,27090
01025,2004,26958
01025,2005,26764
01025,2006,26755
01025,2007,26436
01025,2008,26283
01025,2009,26038
01025,2010,25765
01025,2011,25582
01025,2012,25154
01025,2013,25122
01025,2014,24865
01025,2015,24703
01025,2016,24349
01025,2017,24097
01025,2018,23920
01027,1990,13284
01027,1991,13314
01027,1992,13425
01027,1993,13518
01027,1994,13553
01027,1995,13590
01027,1996,13734
01027,1997,13963
01027,1998,14118
01027,1999,14174
01027,2000,14263
01027,2001,14298
01027,2002,14257
01027,2003,14203
01027,2004,14121
01027,2005,14077
01027,2006,14053
01027,2007,14085
01027,2008,14161
01027,2009,14006
01027,2010,13897
01027,2011,13686
01027,2012,13432
01027,2013,13404
01027,2014,13440
01027,2015,13413
01027,2016,13393
01027,2017,13367
01027,2018,13275
01029,1990,12724
01029,1991,12684
01029,1992,12850
01029,1993,13027
01029,1994,13030
01029,1995,13080
01029,1996,13254
01029,1997,13768
01029,1998,13921
01029,1999,14039
01029,2000,14172
01029,2001,14222
01029,2002,14416
01029,2003,14438
01029,2004,14339
01029,2005,14368
01029,2006,14538
01029,2007,14799
01029,2008,14874
01029,2009,14918
01029,2010,15004
01029,2011,14928
01029,2012,14889
01029,2013,14976
01029,2014,15025
01029,2015,14917
01029,2016,14853
01029,2017,14906
01029,2018,14987
01031,1990,40293
01031,1991,40577
01031,1992,41469
01031,1993,41910
01031,1994,42666
01031,1995,43174
01031,1996,43128
01031,1997,43201
01031,1998,43509
01031,1999,43667
01031,2000,43580
01031,2001,43716
01031,2002,43930
01031,2003,44315
01031,2004,45053
01031,2005,45604
01031,2006,46228
01031,2007,47458
01031,2008,48516
01031,2009,49440
01031,2010,50205
01031,2011,50435
01031,2012,51136
01031,2013,50677
01031,2014,50655
01031,2015,50952
01031,2016,51145
01031,2017,51777
01031,2018,51909
01033,1990,51876
01033,1991,52557
01033,1992,52827
01033,1993,53367
01033,1994,53454
01033,1995,53702
01033,1996,54163
01033,1997,54899
01033,1998,54928
01033,1999,54715
01033,2000,54997
01033,2001,54793
01033,2002,54536
01033,2003,54279
01033,2004,54380
01033,2005,54359
01033,2006,54413
01033,2007,54486
01033,2008,54473
01033,2009,54426
01033,2010,54525
01033,2011,54535
01033,2012,54572
01033,2013,54533
01033,2014,54468
01033,2015,54370
01033,2016,54367
01033,2017,54509
01033,2018,54762
01035,1990,14042
01035,1991,14331
01035,1992,14233
01035,1993,14255
01035,1994,14321
01035,1995,14322
01035,1996,14458
01035,1997,14361
01035,1998,14242
01035,1999,14158
01035,2000,14035
01035,2001,13940
01035,2002,13793
01035,2003,13585
01035,2004,13430
01035,2005,13421
01035,2006,13603
01035,2007,13441
01035,2008,13388
01035,2009,13274
01035,2010,13234
01035,2011,13192
01035,2012,13044
01035,2013,12911
01035,2014,12679
01035,2015,12680
01035,2016,12501
01035,2017,12435
01035,2018,12277
01037,1990,11071
01037,1991,11170
01037,1992,11177
01037,1993,11444
01037,1994,11794
01037,1995,11952
01037,1996,11854
01037,1997,11941
01037,1998,12007
01037,1999,12135
01037,2000,11844
01037,2001,11848
01037,2002,11740
01037,2003,11732
01037,2004,11560
01037,2005,11467
01037,2006,11451
01037,2007,11439
01037,2008,11493
01037,2009,11410
01037,2010,11782
01037,2011,11487
01037,2012,11347
01037,2013,11256
01037,2014,11038
01037,2015,10938
01037,2016,10826
01037,2017,10757
01037,2018,10715
01039,1990,36519
01039,1991,36620
01039,1992,36950
01039,1993,37218
01039,1994,37108
01039,1995,37489
01039,1996,37693
01039,1997,37759
01039,1998,37776
01039,1999,37843
01039,2000,37514
01039,2001,37069
01039,2002,36901
01039,2003,36860
01039,2004,36806
01039,2005,37204
01039,2006,37441
01039,2007,37631
01039,2008,37545
01039,2009,37648
01039,2010,37812
01039,2011,38019
01039,2012,37804
01039,2013,37812
01039,2014,37756
01039,2015,37551
01039,2016,37382
01039,2017,37078
01039,2018,36986
01041,1990,13598
01041,1991,13552
01041,1992,13511
01041,1993,13556
01041,1994,13476
01041,1995,13585
01041,1996,13576
01041,1997,13690
01041,1998,13599
01041,1999,13584
01041,2000,13692
01041,2001,13724
01041,2002,13635
01041,2003,13652
01041,2004,13727
01041,2005,13699
01041,2006,13880
01041,2007,13956
01041,2008,13922
01041,2009,14024
01041,2010,13874
01041,2011,13899
01041,2012,13921
01041,2013,13854
01041,2014,13859
01041,2015,13857
01041,2016,13922
01041,2017,13861
01041,2018,13824
01043,1990,67825
01043,1991,68740
01043,1992,69908
01043,1993,70889
01043,1994,72050
01043,1995,73037
01043,1996,74318
01043,1997,75147
01043,1998,76197
01043,1999,77065
01043,2000,77473
01043,2001,77415
01043,2002,77443
01043,2003,77657
01043,2004,78131
01043,2005,78692
01043,2006,79044
01043,2007,79576
01043,2008,80273
01043,2009,80351
01043,2010,80454
01043,2011,80401
01043,2012,80273
01043,2013,80688
01043,2014,81067
01043,2015,81764
01043,2016,82456
01043,2017,82836
01043,2018,83442
01045,1990,49600
01045,1991,49835
01045,1992,49833
01045,1993,49710
01045,1994,50424
01045,1995,50303
01045,1996,49536
01045,1997,49184
01045,1998,48991
01045,1999,49118
01045,2000,49124
01045,2001,49254
01045,2002,49373
01045,2003,49215
01045,2004,49245
01045,2005,49050
01045,2006,49077
01045,2007,49488
01045,2008,49871
01045,2009,49854
01045,2010,50390
01045,2011,50112
01045,2012,50284
01045,2013,49772
01045,2014,49417
01045,2015,49349
01045,2016,49301
01045,2017,49254
01045,2018,48956
01047,1990,48015
01047,1991,47857
01047,1992,47940
01047,1993,48002
01047,1994,47806
01047,1995,47706
01047,1996,47347
01047,1997,47104
01047,1998,46764
01047,1999,46722
01047,2000,46198
01047,2001,46132
01047,2002,45377
01047,2003,45170
01047,2004,44795
01047,2005,44434
01047,2006,44323
01047,2007,44194
01047,2008,44265
01047,2009,43759
01047,2010,43860
01047,2011,43256
01047,2012,42795
01047,2013,41983
01047,2014,41562
01047,2015,40948
01047,2016,40092
01047,2017,39235
01047,2018,38310
01049,1990,54875
01049,1991,55909
01049,1992,56883
01049,1993,58000
01049,1994,59551
01049,1995,59779
01049,1996,60358
01049,1997,61144
01049,1998,62325
01049,1999,63593
01049,2000,64650
01049,2001,65678
